rank,community,temperature_native,overall_risk_0_100,dominant_endpoint,temperature_f
1,AUSTIN,33,16.259217011205067,ems_calls,91.4
2,NEAR NORTH SIDE,33,14.920357313849973,ems_calls,91.4
3,AUSTIN,33,13.230590233257196,ems_calls,91.4
4,AUSTIN,33,13.043272046006836,ems_calls,91.4
5,NEAR NORTH SIDE,33,12.322058609019853,ems_calls,91.4
6,AUSTIN,33,11.644769670615377,ems_calls,91.4
7,NEAR NORTH SIDE,33,11.25693035573309,ems_calls,91.4
8,NEAR NORTH SIDE,33,10.71746404174301,ems_calls,91.4
9,NEAR WEST SIDE,33,7.5808873784332675,ems_calls,91.4
10,NEAR WEST SIDE,33,7.234142788277381,ems_calls,91.4
11,UPTOWN,33,6.7895924770305855,ems_calls,91.4
12,NEAR WEST SIDE,33,6.765734714833671,ems_calls,91.4
13,NORTH LAWNDALE,33,6.756602764891077,ems_calls,91.4
14,ENGLEWOOD,33,6.749560491610077,ems_calls,91.4
15,WEST GARFIELD PARK,33,6.332419884530091,ems_calls,91.4
16,WEST GARFIELD PARK,33,6.331904564680573,ems_calls,91.4
17,CHATHAM,33,6.254190249669993,ems_calls,91.4
18,AUBURN GRESHAM,33,6.254052784583151,ems_calls,91.4
19,ENGLEWOOD,33,6.185532073841546,ems_calls,91.4
20,NEAR WEST SIDE,33,6.184312028978235,ems_calls,91.4
21,NORTH LAWNDALE,33,6.180297172090319,ems_calls,91.4
22,ENGLEWOOD,33,6.169441290504634,ems_calls,91.4
23,UPTOWN,33,6.143981099162459,ems_calls,91.4
24,LOOP,33,6.014908378436838,ems_calls,91.4
25,NORTH LAWNDALE,33,6.0063976598899,ems_calls,91.4
26,WEST GARFIELD PARK,33,5.918390312964668,ems_calls,91.4
27,HUMBOLDT PARK,33,5.875866655167387,ems_calls,91.4
28,WEST GARFIELD PARK,33,5.780324072970579,ems_calls,91.4
29,LAKE VIEW,33,5.688050677564595,ems_calls,91.4
30,UPTOWN,33,5.511122949677832,ems_calls,91.4
31,LAKE VIEW,33,5.504671432578707,ems_calls,91.4
32,NORTH LAWNDALE,33,5.407490734775208,ems_calls,91.4
33,WEST TOWN,33,5.364571530246137,ems_calls,91.4
34,EAST GARFIELD PARK,33,5.26216311360168,ems_calls,91.4
35,AUBURN GRESHAM,33,5.201568936086587,ems_calls,91.4
36,HUMBOLDT PARK,33,5.174229694721267,ems_calls,91.4
37,LAKE VIEW,33,5.05756088557337,ems_calls,91.4
38,WEST ENGLEWOOD,33,5.002012255559714,ems_calls,91.4
39,ROSELAND,33,4.980370991698811,ems_calls,91.4
40,UPTOWN,33,4.972413611491564,ems_calls,91.4
41,ENGLEWOOD,33,4.926318095571428,ems_calls,91.4
42,LAKE VIEW,33,4.899964253927849,ems_calls,91.4
43,HUMBOLDT PARK,33,4.724939811269398,ems_calls,91.4
44,WEST TOWN,33,4.6512871974063,ems_calls,91.4
45,AUBURN GRESHAM,33,4.635595526903752,ems_calls,91.4
46,HUMBOLDT PARK,33,4.515957745215656,ems_calls,91.4
47,EAST GARFIELD PARK,33,4.4540174970454025,ems_calls,91.4
48,LOOP,33,4.395616380831252,ems_calls,91.4
49,WEST TOWN,33,4.357687532058709,ems_calls,91.4
50,WEST ENGLEWOOD,33,4.304587130859197,ems_calls,91.4
51,SOUTH SHORE,33,4.271119915079111,ems_calls,91.4
52,EAST GARFIELD PARK,33,4.268196494167405,ems_calls,91.4
53,ROSELAND,33,4.244245438875363,ems_calls,91.4
54,WEST TOWN,33,4.241132849709846,ems_calls,91.4
55,SOUTH SHORE,33,4.187743835487466,ems_calls,91.4
56,AUBURN GRESHAM,33,4.111668818012285,ems_calls,91.4
57,CHATHAM,33,4.093831341738391,ems_calls,91.4
58,LOGAN SQUARE,33,4.069049482848097,ems_calls,91.4
59,LOOP,33,4.063783300328187,ems_calls,91.4
60,ROGERS PARK,33,3.963613184502143,ems_calls,91.4
61,WEST ENGLEWOOD,33,3.913288182448091,ems_calls,91.4
62,GREATER GRAND CROSSING,33,3.8496729882342,ems_calls,91.4
63,NEAR SOUTH SIDE,33,3.847365735236855,ems_calls,91.4
64,CHATHAM,33,3.837619913625021,ems_calls,91.4
65,NEW CITY,33,3.8154430484764226,ems_calls,91.4
66,IRVING PARK,33,3.775175436177377,ems_calls,91.4
67,BELMONT CRAGIN,33,3.7706179392528223,ems_calls,91.4
68,EAST GARFIELD PARK,33,3.6846045935827285,ems_calls,91.4
69,GRAND BOULEVARD,33,3.6828848728055266,ems_calls,91.4
70,ROGERS PARK,33,3.657572219328567,ems_calls,91.4
71,GREATER GRAND CROSSING,33,3.621127682337665,ems_calls,91.4
72,ROGERS PARK,33,3.525621112990133,ems_calls,91.4
73,WEST RIDGE,33,3.4799858701110598,ems_calls,91.4
74,SOUTH SHORE,33,3.472819091320001,ems_calls,91.4
75,WEST ENGLEWOOD,33,3.463135582541376,ems_calls,91.4
76,GREATER GRAND CROSSING,33,3.3686858184085318,ems_calls,91.4
77,NEW CITY,33,3.362230725633139,ems_calls,91.4
78,NEW CITY,33,3.3544138725102357,ems_calls,91.4
79,DOUGLAS,33,3.3179957789090304,ems_calls,91.4
80,SOUTH LAWNDALE,33,3.3171099468573835,ems_calls,91.4
81,ROSELAND,33,3.307266108953421,ems_calls,91.4
82,LOGAN SQUARE,33,3.290163819063285,ems_calls,91.4
83,DOUGLAS,33,3.2231330085777454,ems_calls,91.4
84,CHATHAM,33,3.2009539272293956,ems_calls,91.4
85,EDGEWATER,33,3.1040310743394746,ems_calls,91.4
86,ROGERS PARK,33,3.025675885438195,ems_calls,91.4
87,WEST RIDGE,33,3.024379313051719,ems_calls,91.4
88,LOOP,33,3.0053748216432745,ems_calls,91.4
89,DOUGLAS,33,3.0025709598186237,ems_calls,91.4
90,GRAND BOULEVARD,33,2.985311280678736,ems_calls,91.4
91,GRAND BOULEVARD,33,2.970634883051343,ems_calls,91.4
92,WEST RIDGE,33,2.9558697519464787,ems_calls,91.4
93,WEST PULLMAN,33,2.9381070342436773,ems_calls,91.4
94,PORTAGE PARK,33,2.9369316146865683,ems_calls,91.4
95,DOUGLAS,33,2.9314060870902665,ems_calls,91.4
96,LOGAN SQUARE,33,2.9276984723213197,ems_calls,91.4
97,WASHINGTON HEIGHTS,33,2.9191432864742404,ems_calls,91.4
98,SOUTH SHORE,33,2.9166716034781826,ems_calls,91.4
99,GREATER GRAND CROSSING,33,2.9105930795549333,ems_calls,91.4
100,WEST RIDGE,33,2.868529699050418,ems_calls,91.4
101,LINCOLN PARK,33,2.782616027726984,ems_calls,91.4
102,EDGEWATER,33,2.7819006316245525,ems_calls,91.4
103,ROSELAND,33,2.7655022682509642,ems_calls,91.4
104,LINCOLN PARK,33,2.759188264616121,ems_calls,91.4
105,CHICAGO LAWN,33,2.752638300680068,ems_calls,91.4
106,WOODLAWN,33,2.688054321775134,ems_calls,91.4
107,GRAND BOULEVARD,33,2.6376231692132355,ems_calls,91.4
108,LINCOLN PARK,33,2.6220742524071756,ems_calls,91.4
109,WOODLAWN,33,2.604710554632688,ems_calls,91.4
110,EDGEWATER,33,2.5965499124242846,ems_calls,91.4
111,IRVING PARK,33,2.557111422046604,ems_calls,91.4
112,LINCOLN SQUARE,33,2.528060586050145,ems_calls,91.4
113,LOGAN SQUARE,33,2.513432696592485,ems_calls,91.4
114,LINCOLN PARK,33,2.4917549522744635,ems_calls,91.4
115,LOWER WEST SIDE,33,2.4676563265696387,ems_calls,91.4
116,SOUTH CHICAGO,33,2.4607635436913156,ems_calls,91.4
117,BRIGHTON PARK,33,2.4563916983299556,ems_calls,91.4
118,BRIDGEPORT,33,2.455252369930744,ems_calls,91.4
119,LOWER WEST SIDE,33,2.448734288763737,ems_calls,91.4
120,NEAR SOUTH SIDE,33,2.4445811157962116,ems_calls,91.4
121,BELMONT CRAGIN,33,2.4402681113596816,ems_calls,91.4
122,WASHINGTON PARK,33,2.4138144386094065,ems_calls,91.4
123,WASHINGTON HEIGHTS,33,2.406044163126339,ems_calls,91.4
124,EDGEWATER,33,2.400871275241523,ems_calls,91.4
125,BELMONT CRAGIN,33,2.3872465816129016,ems_calls,91.4
126,WOODLAWN,33,2.340569661320056,ems_calls,91.4
127,IRVING PARK,33,2.2734122251565565,ems_calls,91.4
128,KENWOOD,33,2.255506523566969,ems_calls,91.4
