endpoint_key,community,mean_predicted,mean_excess,mean_rr
death_cvd,ALBANY PARK,0.20466094456728826,-0.0011241696062439597,0.9942313360539049
death_cvd,ARCHER HEIGHTS,0.06100710829657564,0.003140821165481442,1.052593659686539
death_cvd,ARMOUR SQUARE,0.11754378072790851,0.0031729197862169828,1.0279108677259168
death_cvd,ASHBURN,0.2306872108478408,-0.0035946534829303413,0.9849800898013266
death_cvd,AUBURN GRESHAM,0.5757186934961193,0.006826146198113662,1.0116116152282224
death_cvd,AUSTIN,0.9419784331288658,0.01920836853270864,1.019804722497924
death_cvd,AVALON PARK,0.1300470688053477,0.0019477417236742458,1.014300036211662
death_cvd,AVONDALE,0.1279792287586959,-0.002328277843612238,0.9820488441820254
death_cvd,BELMONT CRAGIN,0.3362808713436116,-0.007721116905811662,0.9774202102441403
death_cvd,BEVERLY,0.15282000704371038,0.00551489343530792,1.0370568222503675
death_cvd,BRIDGEPORT,0.161209456290128,0.005770675433450459,1.0370340649336316
death_cvd,BRIGHTON PARK,0.1750693135676962,6.505334977705983e-4,1.0020165933814422
death_cvd,BURNSIDE,0.03679402107663958,-0.002854345552522029,0.9257136082097084
death_cvd,CALUMET HEIGHTS,0.15676730926971466,0.0012169911818798859,1.0090686281894603
death_cvd,CHATHAM,0.3699027909138471,-1.0722158892911302e-4,0.9997495816518579
death_cvd,CHICAGO LAWN,0.3112334472308036,-0.002733656428034862,0.9901791378584507
death_cvd,CLEARING,0.15043799485083661,0.005251831640043429,1.0335725846458175
death_cvd,DOUGLAS,0.17053581793157224,0.0019522134684294644,1.0123262595567655
death_cvd,DUNNING,0.33224096761901534,0.0027865032682394264,1.0080017996283446
death_cvd,EAST GARFIELD PARK,0.14722416395884638,-2.908131979723042e-4,0.9982336613716027
death_cvd,EAST SIDE,0.13897128912979803,-0.0029176278241827345,0.9793275942498125
death_cvd,EDGEWATER,0.3687018494080882,0.005112831522696715,1.014521824049668
death_cvd,EDISON PARK,0.06928883797264816,0.0020079069878750446,1.029856838016377
death_cvd,ENGLEWOOD,0.3008146210056616,-0.002708937076108698,0.9911003209151785
death_cvd,FOREST GLEN,0.12422373570908969,0.0032165609184949834,1.026636573930909
death_cvd,FULLER PARK,0.05740152891192753,0.0011786638047198352,1.0224910047275395
death_cvd,GAGE PARK,0.14088916865809967,-0.0030492015176065406,0.9782324533834788
death_cvd,GARFIELD RIDGE,0.24127036593997356,-0.0028789900316849183,0.9877652295265568
death_cvd,GRAND BOULEVARD,0.18808370901055202,-9.489890140233648e-4,0.994607657151363
death_cvd,GREATER GRAND CROSSING,0.3611068136978811,0.008441230117189282,1.024135442676448
death_cvd,HEGEWISCH,0.07832215332799203,0.0024144892781547585,1.0348261630483588
death_cvd,HERMOSA,0.11123667400989114,-0.001812871151341082,0.9834736110042435
death_cvd,HUMBOLDT PARK,0.28747870394572356,-0.004717600439746276,0.9824956723049963
death_cvd,HYDE PARK,0.14033121848279337,0.012161673026166166,1.0960999300377778
death_cvd,IRVING PARK,0.2339681272515769,0.002028507895156352,1.008633870229669
death_cvd,JEFFERSON PARK,0.16810219985206976,0.004215951309720123,1.0261457819703048
death_cvd,KENWOOD,0.18228897510793401,0.0035334567454407776,1.0202191526509758
death_cvd,LAKE VIEW,0.33013190852192287,-0.00356467145514236,0.9892571695490209
death_cvd,LINCOLN PARK,0.22132024601700298,0.0035081327055936666,1.0163081079498555
death_cvd,LINCOLN SQUARE,0.17512807985993123,0.005959630427807501,1.0358090317038382
death_cvd,LOGAN SQUARE,0.24702791083013703,0.006630823776439853,1.0278967277393047
