community,year,temp_value,scenario,total_predicted_count,total_reference_count,total_excess_events,overall_weighted_excess,overall_risk_0_100,dominant_endpoint,dominant_endpoint_excess,dominant_endpoint_risk_0_100,temperature
ALBANY PARK,2019,24,steady_state_lag_window,11.142516611989592,10.761846604975087,0.38067000701450454,0.017250471387747837,0.4015770354424107,ems_calls,0.2713261037148893,1.7356736285806154,24
ALBANY PARK,2019,25,steady_state_lag_window,11.171387205975767,10.761846604975087,0.40954060100067996,0.018556732336287685,0.41817779390729837,ems_calls,0.28770837608262934,1.808551693006907,25
ALBANY PARK,2019,26,steady_state_lag_window,11.200684708688327,10.761846604975087,0.4388381037132381,0.019881889979525082,0.43501870305938933,ems_calls,0.304138396409237,1.8816421686753309,26
ALBANY PARK,2019,27,steady_state_lag_window,11.230410824038163,10.761846604975087,0.4685642190630743,0.02122600098689924,0.45210048308837764,ems_calls,0.32061630386144113,1.9549456746820417,27
ALBANY PARK,2019,28,steady_state_lag_window,11.260689757449239,10.761846604975087,0.4988431524741499,0.022595622221143623,0.46950646259307593,ems_calls,0.3371422380115767,2.028462831927571,28
ALBANY PARK,2019,29,steady_state_lag_window,11.291898077980077,10.761846604975087,0.5300514730049891,0.024010705920457037,0.48749020674937243,ems_calls,0.3537163388388489,2.1021942631224504,29
ALBANY PARK,2019,30,steady_state_lag_window,11.325187620457617,10.761846604975087,0.5633410154825297,0.02551351864109291,0.50658886465622,ems_calls,0.37033874673038536,2.176140592791892,30
ALBANY PARK,2019,31,steady_state_lag_window,11.345067111863836,10.761846604975087,0.583220506888748,0.026438307994925116,0.5183416501245668,ems_calls,0.3870096024825713,2.25030244728173,31
ALBANY PARK,2019,32,steady_state_lag_window,11.366007693319105,10.761846604975087,0.6041610883440177,0.027447389485309698,0.5311656713218539,ems_calls,0.4037290473019848,2.3246804547625772,32
ALBANY PARK,2019,33,steady_state_lag_window,11.391221735478117,10.761846604975087,0.6293751305030293,0.02866998181796496,0.5467031181376073,ems_calls,0.4204972228070005,2.399275245236964,33
ALBANY PARK,2019,34,steady_state_lag_window,11.420845250477777,10.761846604975087,0.6589986455026889,0.030112675589932525,0.5650377478867419,ems_calls,0.4373142710285407,2.474087450542676,34
ALBANY PARK,2019,35,steady_state_lag_window,11.456233902880882,10.761846604975087,0.6943872979057945,0.03184510545070239,0.5870545200394632,ems_calls,0.45418033441160777,2.549117704359573,35
ALBANY PARK,2019,36,steady_state_lag_window,11.49934507995794,10.761846604975087,0.7374984749828526,0.033967998776804974,0.6140335393485412,ems_calls,0.471095555816361,2.62436664221438,36
ALBANY PARK,2019,37,steady_state_lag_window,11.55300489236015,10.761846604975087,0.7911582873850626,0.036626978285430156,0.647825467856481,ems_calls,0.48806007851933586,2.69983490148611,37
ALBANY PARK,2019,38,steady_state_lag_window,11.62129413797981,10.761846604975087,0.8594475330047222,0.04003251534379325,0.691105103684456,ems_calls,0.5050740462146814,2.7755231214115663,38
ALBANY PARK,2019,39,steady_state_lag_window,11.710106250096041,10.761846604975087,0.9482596451209536,0.04448877534253858,0.7477379655782489,ems_calls,0.5221376030152864,2.851431943090358,39
