community,year,temp_value,source,scenario,family_predicted_count,family_reference_count,family_excess_events,family_risk_0_100,temperature
ALBANY PARK,2019,24,ED,steady_state_lag_window,2.2364430897230445,2.1848806545793873,0.05156243514365716,17.309663600368342,24
ALBANY PARK,2019,24,EMS,steady_state_lag_window,7.991474821665627,7.669228655563812,0.32224616610181583,1.6022382530778398,24
ALBANY PARK,2019,24,Mortality,steady_state_lag_window,0.9145987006009209,0.9077372948318893,0.006861405769031541,0.8236094229139518,24
ALBANY PARK,2019,25,ED,steady_state_lag_window,2.242764838015302,2.1848806545793873,0.057884183435914525,17.361639705315234,25
ALBANY PARK,2019,25,EMS,steady_state_lag_window,8.013590897955615,7.669228655563812,0.34436224239180413,1.6688998606396808,25
ALBANY PARK,2019,25,Mortality,steady_state_lag_window,0.9150314700048505,0.9077372948318893,0.007294175172961291,0.8238947294941851,25
ALBANY PARK,2019,26,ED,steady_state_lag_window,2.249156373311799,2.1848806545793873,0.06427571873241152,17.414189584555025,26
ALBANY PARK,2019,26,EMS,steady_state_lag_window,8.036058252359803,7.669228655563812,0.3668295967959924,1.7366202800579664,26
ALBANY PARK,2019,26,Mortality,steady_state_lag_window,0.9154700830167235,0.9077372948318893,0.007732788184834194,0.8241838885181983,26
ALBANY PARK,2019,27,ED,steady_state_lag_window,2.2556188906090426,2.1848806545793873,0.07073823602965527,17.46732306310146,27
ALBANY PARK,2019,27,EMS,steady_state_lag_window,8.058877327877905,7.669228655563812,0.38964867231409445,1.8054008466090208,27
ALBANY PARK,2019,27,Mortality,steady_state_lag_window,0.9159146055512138,0.9077372948318893,0.00817731071932458,0.8244769434407515,27
ALBANY PARK,2019,28,ED,steady_state_lag_window,2.2621537602646384,2.1848806545793873,0.077273105685251,17.52105140775091,28
ALBANY PARK,2019,28,EMS,steady_state_lag_window,8.082048652482731,7.669228655563812,0.4128199969189198,1.8752431516925017,28
ALBANY PARK,2019,28,Mortality,steady_state_lag_window,0.9164873447018684,0.9077372948318893,0.008750049869979102,0.8248545261602207,28
ALBANY PARK,2019,29,ED,steady_state_lag_window,2.2687625380975285,2.1848806545793873,0.08388188351814102,17.575387410124446,29
ALBANY PARK,2019,29,EMS,steady_state_lag_window,8.105572839279407,7.669228655563812,0.43634418371559525,1.94614904331132,29
ALBANY PARK,2019,29,Mortality,steady_state_lag_window,0.9175627006031422,0.9077372948318893,0.009825405771252845,0.825563462864017,29
ALBANY PARK,2019,30,ED,steady_state_lag_window,2.2770799863185274,2.1848806545793873,0.09219933173914008,17.643771746488238,30
ALBANY PARK,2019,30,EMS,steady_state_lag_window,8.129450586696983,7.669228655563812,0.4602219311331717,2.018120626649175,30
ALBANY PARK,2019,30,Mortality,steady_state_lag_window,0.9186570474421072,0.9077372948318893,0.010919752610217864,0.8262849194905226,30
ALBANY PARK,2019,31,ED,steady_state_lag_window,2.288133310097834,2.1848806545793873,0.1032526555184465,17.734649884972303,31
ALBANY PARK,2019,31,EMS,steady_state_lag_window,8.15368267871301,7.669228655563812,0.48445402314919844,2.09116026474746,31
