community,year,overall_structural_raw,n_endpoints,overall_structural_0_100,dominant_endpoint,dominant_endpoint_score
ALBANY PARK,2019,0.005636526425597058,22,63.25348114596333,death_renal,80.43534823208424
ALBANY PARK,2020,0.005488564342454764,22,62.80953509619837,ems_injury,82.09085662528908
ALBANY PARK,2021,0.012396832388533357,22,83.53713127923346,death_renal,91.34234267494365
ALBANY PARK,2022,0.005664429480836222,22,63.337201588976335,ed_respiratory,80.29787970789518
ARCHER HEIGHTS,2019,-3.6434225978407255e-5,22,46.23230640812857,death_respiratory,87.31832945150717
ARCHER HEIGHTS,2020,0.0038824322130887167,22,57.9904895739281,ems_gi,82.59505462848449
ARCHER HEIGHTS,2021,0.008099237871262889,22,70.64261081212847,death_respiratory,92.29623104027246
ARCHER HEIGHTS,2022,0.009843151571214868,22,75.87505673193984,death_renal,90.59009296520692
ARMOUR SQUARE,2019,0.017883716102697112,22,100,death_renal,99.81072213413161
ARMOUR SQUARE,2020,0.0074518715265047076,22,68.70025013834832,ems_injury,95.14213867252396
ARMOUR SQUARE,2021,0.015355120785557341,22,92.41319209179531,ems_syncope,100
ARMOUR SQUARE,2022,0.010422930051009124,22,77.61462649452466,ems_syncope,91.51660104767826
ASHBURN,2019,0.0029045283460100192,22,55.05638274318035,death_respiratory,85.54750546668312
ASHBURN,2020,5.542144589369075e-4,22,48.00449117937741,death_respiratory,75.96797605810838
ASHBURN,2021,0.0036664622978921885,22,57.34249254196304,death_respiratory,90.40710340943731
ASHBURN,2022,0.0010920078874267676,22,49.618088819375664,death_respiratory,82.80591519389132
AUBURN GRESHAM,2019,0.0043437095642627965,22,59.374508057250225,death_renal,68.31509995195839
AUBURN GRESHAM,2020,0.0035540780001771604,22,57.005294227593446,ed_cvd,82.44430774677461
AUBURN GRESHAM,2021,0.004493525083077169,22,59.82401516311578,ed_cvd,69.36621825797152
AUBURN GRESHAM,2022,-0.003397497426849487,22,36.14775839860819,ed_respiratory,78.5924215570528
AUSTIN,2019,-0.002143231016791571,22,39.91106455294641,ems_bleeding,79.70893490981723
AUSTIN,2020,-0.0026206898069354376,22,38.47849521282645,ems_injury,79.59714037033243
AUSTIN,2021,0.0011066524635917154,22,49.66202846662068,ed_respiratory,77.53385205923932
AUSTIN,2022,-0.0013346995149228448,22,42.3369858345491,ems_bleeding,77.17084158029894
AVALON PARK,2019,0.0015163040358303135,22,50.89114874806763,ed_cvd,85.72584638666243
AVALON PARK,2020,-2.0496301811452803e-4,22,45.72665191914345,ed_cvd,84.12412256472344
AVALON PARK,2021,0.0036031122085729466,22,57.152416670440694,ed_respiratory,81.88086969773815
AVALON PARK,2022,-0.0014710211617449084,22,41.927965798342186,ed_respiratory,78.07750706866031
AVONDALE,2019,0.0016116928847780742,22,51.17735384725686,death_renal,76.50564865539081
AVONDALE,2020,2.901029912173549e-4,22,47.21205003295908,ems_injury,86.90979218152977
AVONDALE,2021,0.005428435376391849,22,62.62912389629377,ed_respiratory,74.81785552622345
AVONDALE,2022,-5.933400904039475e-4,22,44.56136373584342,ems_bleeding,76.65172523093085
BELMONT CRAGIN,2019,-0.0025812749498150874,22,38.59675571409151,ems_bleeding,84.59968441558522
BELMONT CRAGIN,2020,-0.0038761202404667093,22,34.71169651761658,ems_bleeding,81.57060042688634
BELMONT CRAGIN,2021,-0.0012834689292721966,22,42.49069829684849,ems_bleeding,70.7193784903949
BELMONT CRAGIN,2022,-0.0023739485689934056,22,39.2188186495622,ed_cvd,72.8110596041855
BEVERLY,2019,0.00515885290822708,22,61.820267537380914,ed_cvd,81.3337216552969
BEVERLY,2020,-0.005644674661640351,22,29.405318475349226,ems_gi,94.31529300473082
BEVERLY,2021,0.0045296347637264235,22,59.93235879914782,ems_gi,80.99335938879543
BEVERLY,2022,-0.004992844386788065,22,31.361072743553148,ems_gi,78.0995728417866
BRIDGEPORT,2019,0.0049125585569882975,22,61.081284941368594,death_respiratory,91.41433611078259
BRIDGEPORT,2020,0.003290563276734151,22,56.21464355518484,ed_respiratory,89.02385536682148
BRIDGEPORT,2021,0.007811806399871789,22,69.78020022968555,death_respiratory,95.8587776485029
